id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
3026;Лутковая;»;»;98;12;;2;4;;;
3027;Пятиверстка;»;»;94;11;;3;2;;;
3028;Обуховая;»;(пр);91;17;;9;12;;;
3029;Мельничная;»;(лв);74;15;;—;—;;;
3030;Половинка;»;»;33;41;;12;41;;;
3031;без названия;Половинка;»;26;12;;2;6;;;
3032;Пачелга;Чертала;(пр);11;124;523;65;128;;;
;реки в бассейне р. Чертала,;теряющиеся на водосборе;;;;;29;55;;;
3033;Ягыл-Ях;Васюган;(лв);636;368;4680;61;145;;;
3034;Игл-Ях;Ягыл-Ях;(пр);359;14;;11;26;;;
3035;Полугар;»;(лв);351;13;;8;20;;;
3036;Черемшанка;»;»;343;14;;3;10;;;
3037;без названия;Черемшанка;»;3;11;;2;4;;;
3038;Сорокамышка;Ягыл-Ях;»;340;22;;3;5;;;
3039;Мал. Кулай;»;(пр);323;13;;2;7;;;
3040;Пульцисс;»;(лв);319;21;;12;37;;;
3041;Кулай;Ягыл-Ях;(пр);302;22;;4;13;;;
3042;Саранка;»;(лв);296;27;;3;10;;;
3043;без названия;Саранка;»;17;10;;7;12;;;
3044;Долгая;Ягыл-Ях;»;267;50;310;9;25;;;
3045;Бол. Налиминка;»;(пр);235;32;;16;37;;;
3046;Мал. Налиминка;Бол. Налиминка;(лв);9;11;;1;2;;;
3047;Бол. Юнкуль;Ягыл-Ях;(пр);198;19;;6;15;;;
3048;Шайтанка;»;(лв);192;49;;16;46;;;
3049;без названия;Шайтанка;»;32;21;;5;15;;;
3050;Мал. Шайтанка;Ягыл-Ях;»;164;14;;1;3;;;
3051;Широкая (Кому-Игол);»;»;147;56;461;17;59;;;
3052;Мал. Широкая (Ай-Кому-Игол);Широкая;»;35;15;;3;6;;;
3053;Лесмуровка;Ягыл-Ях;»;124;17;;2;1;;;
3054;Бол. Каирка;»;»;112;17;;4;11;;;
3055;Мал. Каирка;»;»;106;12;;4;6;;;
3056;Крапивная;»;(пр);97;42;;25;64;;;
3057;Налимная;»;»;78;13;;4;7;;;
;реки в бассейне р. Ягыл-Ях,теряющиеся на водосборе;;;;;;5;9;;;
3058;Егол-Ях (Еголь);Васюган;(лв);607;184;1790;42;124;;;
3059;Бол. Ножевая ;Егол-Ях;(пр);172;15;;2;14;;;
3060;Березовая;»;(лв);165;17;;4;13;;;
3061;Воронья;»;»;137;25;;3;6;;;
3062;Лиственная;»;(пр);115;16;;4;16;;;
3063;Когу-Игай;Егол-Ях;(лв);97;29;;5;13;;;
3064;без названия;Когу-Игай ;(пр);11;15;;2;5;;;
3065;Сосновая;Егол-Ях;»;88;22;;3;6;;;
3066;Окуневка ;Васюган;(лв);579;11;;1;1;;;
3067;Оленевка;»;»;566;68;280;15;25;;;
3068;Кокси-Пех;»;»;538;19;;—;—;;;
3069;Мостная;Васюган;(пр);533;17;;16;27;;;
3070;Кельват;»;(лв);517;199;1690;48;114;;;
3071;Рыбнохтан-Ега;Кельват;»;178;12;;4;6;;;
3072;Кулун-Ях;»;(пр);177;20;;9;29;;;
3073;без названия;»;(лв);169;12;;3;6;;;
3074;Лиственная;»;(пр);149;21;;9;26;;;
3075;Окунева;»;(лв);146;21;;7;17;;;
3076;Налиминка;»;(пр);135;10;;4;7;;;
3077;Сокан-Ега;»;(лв);127;11;;1;1;;;
3078;Долгая;»;(пр);62;38;;13;31;;;
3079;без названия;»;»;42;11;;2;7;;;
3080;Чочергина ;»;»;13;11;;—;—;;;
3081;Лонтын-Ях;Васюган;(лв);505;135;849;36;104;;;
3082;Кулун-Ях;Лонтын-Ях;»;110;10;;5;11;;;
3083;Волкова;»;(пр);81;10;;4;5;;;
3084;Долгая;»;»;66;20;;7;14;;;
3085;Варка-Игай;»;(лв);30;13;;2;5;;;
3086;Налимная;Васюган;(пр);504;10;;25;35;;;
3087;Осиновая;»;»;492;19;;28;35;;;
3088;Половинка;»;»;477;31;;22;46;;;
3089;Зырян-Пех;»;»;464;11;;6;16;;;
3090;Катыльга;Васюган;(лв);452;120;1570;54;103;;;
3091;Катыр-Игль;Катыльга;»;98;20;;6;13;;;
30Э2;Нивер-Игай;»;(пр);67;12;;8;14;;;
3093;Сосновая;»;»;57;12;;4;5;;;
3094;Еллекулун-Ях (Бол. Катыльга);»;(лв);37;97;654;70;121;;;
3095;Глухая;Еллекулун-Ях;»;62;13;;6;9;;;
3096;Бол. Налимка;»;»;45;19;;9;20;;;
3097;Перная;Катыльга;(пр);15;24;;3;6;;;
3098;Черемшанка;Васюган;(лв);437;64;365;14;29;;;
3099;Боровая;Черемшанка;»;13;16;;3;5;;;
3100;Прудовая;Васюган;»;422;28;;6;12;;;
3101;Махня;»;»;402;211;2110;44;124;;;
3102;Лиственка;Махня;(пр);165;14;;5;9;;;
3103;Моховая;»;(лв);152;37;;7;31;;;
3104;Ледяная;Моховая;(пр);11;29;;3;6;;;
3105;без названия  ;Ледяная;(лв);12;13;;1;3;;;
3106;Торфяная;»;»;6;17;;3;5;;;
3107;Кедровая ;Махня;(пр);138;13;;3;3;;;
3108;Березовая;»;»;132;11;;5;15;;;
3109;Ледовая;»;(лв);117;30;;4;16;;;
3110;без названия;Ледовая;»;14;11;;—;—;;;
3111;Черканная;Махня;»;104;14;;2;2;;;
3112;Бычинская;»;»;89;10;;2;5;;;
3113;Луковка;»;(пр);71;10;;2;2;;;
;реки в бассейне р. Махня, теряющиеся на водосборе;;;;;;2;3;;;
3114;Ершовка;Васюган ;»;398;16;;13;28;;;
3115;Калганак (Бол. Калганак);»;»;386;28;;26;48;;;
3116;Половинка (протока Хламная);»;(лв);362;19;;3;6;;;
3117;без названия;протока Хламная ;(лв);13;14;;3;7;;;
3118;Кедровка (Бол. Кедровка, Алтым-Игай) ;Васюган ;»;342;132;1190;36;84;;;
3119;Мал. Кедровка;Кедровка (Бол. Кедровка);(пр);120;12;;1;3;;;
3120;Березовая;Кедровка;(лв);79;40;;12;23;;;
3121;без названия;Березовая ;(пр);31;10;;1;1;;;
3122;Сыглын-Игай;Кедровка;(лв);21;83;397;36;57;;;
3123;Болотная;Сыглын-Игай;»;69;12;;2;3;;;
3124;Пеноровка;Васюган ;(пр);331;118;779;148;260;;;
3125;Пыркаг-Игай;Пеноровка;»;73;15;;11;14;;;
3126;Байкал;»;(лв);14;15;;6;6;;;
3127;Сталинская;»;(пр);0;11;;3;3;;;
3128;Ин-Пех;Васюган;(пр);324;11;;6;10;;;
3129;Таежная;»;»;317;13;;14;18;;;
3130;Мартыновка;»;(лв);307;90;379;14;32;;;
3131;Пель-Мегыт;Мартыновка;»;56;10;;—;—;;;
3132;без названия;»;»;36;10;;—;—;;;
3133;Кедровка;Васюган;(пр);295;13;;11;20;;;
3134;без названия;»;»;285;13;;5;8;;;
3135;Варен-Еган (Бол. Варен-Еган) ;»;(лв);271;89;828;34;58;;;
3136;Горелая;Варен-Еган (Бол.Варен-Еган);(лв);69;12;;—;—;;;
3137;Мал. Варен-Еган;Варен-Еган;»;51;14;;;;;;
3138;Окуневка (Бол. Окуневка);»;»;31;25;;11;12;;;
3139;Мал. Окуневка;Окуневка;»;7;14;;4;6;;;
3140;протока Кильсинская ;Варен-Еган;(пр);15;24;;5;3;;;
3141;Кильсинка;протока Кильсинская;(лв);16;22;;—;—;;;
3142;Васасуля;Васюган;(пр);267;15;;—;—;;;
3143;Люлл (Люльский Чвор);»;»;249;12;;9;17;;;
3144;Ягом-Ях (Бол. Ягом-Ях);Васюган;(лв);246;94;619;5;5;;;
3145;без названия;Бол. Ягом-Ях ;(пр);74;13;;14;39;;;
3146;Сред. Ягом-Ях;Ягом-Ях;»;19;26;;—;—;;;
3147;протока Борисовская ;Васюган;»;237;16;;3;9;;;
3148;Окуневка;»;(лв);230;19;;3;4;;;
3149;без названия;»;(пр);214;15;;3;5;;;
3150;Чебачья;»;(лв);209;29;;3;6;;;
3151;Тунгуска;»;»;194;12;;3;7;;;
3152;Кагальтура;»;»;182;14;;6;7;;;
3153;Нюролька (Бол. Нюролька);»;(пр);174;399;8110;114;257;;;
3154;Мал. Нюролька;Нюролька;(лв);373;15;;17;32;;;535, 536
3155;Белая;»;»;363;10;;7;11;;;
3156;Крутогорная;»;(пр);359;17;;23;52;;;
3157;Быстрая;»;»;336;21;;15;47;;;
3158;Черемушная;»;»;293;25;;17;30;;;
3159;без названия;Черемушная ;»;12;12;;5;17;;;
3160;Кынгылат (Елле-Кынгылат) ;Нюролька;(лв);286;95;342;36;77;;;
3161;Ай-Кынгылат;Кынгылат;»;21;60;417;17;29;;;
3162;без названия;Ай-Кынгылат;»;43;11;;2;5;;;
3163;Ай-Кагал ;Нюролька;»;276;74;356;26;45;;;
3164;Елле-Кагал;»;»;268;122;909;69;136;;;
3165;Сред. Кагал;Елле-Кагал;»;100;16;;—;—;;;
3166;Березовая;»;»;90;17;;—;—;;;
3167;Чащеватая;»;»;86;12;;4;5;;;
3168;Милляк-Саим;»;»;77;12;;11;21;;;
3169;Талинкина ;»;»;60;14;;17;30;;;
3170;Запорная ;Нюролька;(пр);255;19;;9;14;;;
3171;Кулан-Игай (Ай-Кулан-Игай) ;»;(лв);225;46;;27;48;;;
3172;Елле-Кулан-Игай;Кулан-Игай;(пр);13;31;;29;47;;;
3173;Колотушка;Нюролька;(лв);213;16;;2;6;;;
3174;Тух-Сигат;»;»;159;131;1130;59;131;;;
3175;Кулан-Игай;Тух-Сигат;»;113;41;;4;17;;;
3176;без названия;Кулан-Игай;»;21;13;;—;—;;;
3177;Вичи-Кулан-Игай;Тух-Сигат;»;93;40;;16;33;;;
3178;Заячья;»;»;63;29;;28;45;;;
;река в бассейне р. Тух-Сигат, теряющаяся на водосборе;;;;;;1;4;;;
3179;Ершовая ;оз. Тух-Эмтор;—;—;10;;8;10;;;
3180;Запорная;»;»;—;17;;17;41;;;
3181;Водопойная ;»;»;—;12;;—;—;;;
3182;Кюль-Игай;оз. Дальнее;»;—;10;;13;22;;;
3183;Катыльга;»;»;—;13;;12;20;;;
3184;Чебачья;оз. Тух-Эмтор;»;—;67;392;17;42;;;
;Малый приток оз. Тух-Эмтор;;;;;;1;4;;;
;Малые притоки оз. Среднее;;;;;;2;4;;;
3185;Мал. Коленсал;Нюролька;(пр);152;10;;7;12;;;
3186;Бол. Коленсал;»;»;148;13;;14;43;;;
3187;Кому-Еган;»;(лв);135;36;;17;30;;;
3188;Пуглалым;»;»;109;46;;29;48;;;
3189;Кагач;»;(пр);106;15;;4;6;;;
3190;Кла-Игай;»;(лв);101;20;;16;25;;;
3191;Тачкаль;»;»;94;15;;13;33;;;
3192;Тумоль-Игай;»;(пр);82;11;;3;3;;;
3193;без названия;»;(лв);78;11;;3;2;;;
3194;Вачев (Вачев 1-й);»;(пр);59;24;;1;1;;;
3195;Вачев.2-й;Вачев;»;5;13;;15;25;;;
3196;Саильвер;Нюролька;(лв);34;14;;3;4;;;
3197;Нестерова;»;(пр);33;10;;6;11;;;
3198;Янпул;»;»;19;39;;15;27;;;
3199;Кулунь;Янпул;—;12;13;;15;22;;;
3200;Пермянка;Нюролька;»;4;18;;15;24;;;
3201;Зимняя;Васюган;»;156;14;;10;26;;;
3202;без названия;Зимняя ;»;1;10;;6;9;;;
3203;Щучья;оз. Среднее;—;—;39;;3;8;;;
;Малый приток оз. Среднее;;;;;;1;1;;;
;Малые притоки оз. Чебит-Перы;;;;;;3;5;;;
3204;Качарма ;Васюган;(лв);146;20;;7;12;;;
3205;Ушал (Бол. Ушал);Качарма;»;19;44;;3;5;;;
3206;Мал. Ушал;Ушал (Бол. Ушал);(пр);28;10;;2;9;;;
3207;Чебачья;Качарма;(лв);12;61;481;13;20;;;
3208;Вершинка;Чебачья;(пр);19;17;;1;1;;;
3209;Федорова;»;»;3;16;;—;—;;;
3210;Чижапка (Чежапка);Васюган;»;114;511;13 800;175;445;;;537
3211;без названия;Чижапка ;»;491;10;;—;—;;;
3212;Томка;»;»;479;38;;15;45;;;
3213;без названия;Томка ;»;18;14;;3;10;;;
3214;Арча;Чижапка;(лв);464;36;;10;43;;;
3215;без названия;Арча ;(пр);20;15;;2;6;;;
3216;Тунжик;Чижапка;»;460;33;;14;37;;;
3217;Верхняя Табога;»;»;449;12;;—;—;;;
3218;Нижняя Табога;»;»;446;36;;22;65;;;
3219;Пасмондар;»;(лв);444;28;;7;27;;;
3220;Хатчиха;»;(пр);434;27;;10;28;;;
3221;Герасимова;»;»;424;32;;3;10;;;
3222;Белая ;Герасимова;(лв);23;14;;—;—;;;
3223;Кехорега;»;»;11;26;;5;15;;;
3224;без названия;Кехорега;»;10;11;;8;19;;;
3225;без названия;Герасимова;»;10;18;;2;5;;;
3226;Соболевка;Чижапка;(лв);412;10;;3;6;;;
3227;Чагва ;»;»;388;110;1 230;51;120;;;
3228;без названия;Чагва;(пр);94;12;;4;20;;;
3229;Сюнчик;»;»;70;26;;7;42;;;
3230;без названия;Сюнчик;»;14;10;;4;15;;;
3231;Грибковка;Чагва;(лв);62;41;;50;93;;;
3232;Нюльга;»;»;44;19;;19;41;;;
3233;Муборга;»;»;26;11;;5;7;;;
3234;Тамырсат;Чижапка;»;350;96;996;47;73;;;
3235;Кындара ;Тамырсат;(пр);78;10;;10;20;;;
3236;Гаринка;»;(лв);65;14;;9;12;;;
3237;Тамратка;»;»;60;16;;15;23;;;
3238;Тоголка;»;»;48;14;;20;25;;;
3239;Корга ;»;(пр);40;14;;11;22;;;
3240;Чульга;»;(лв);13;15;;9;13;;;
3241;Мал. Пильга;Чижапка;(пр);341;30;;14;35;;;
3242;Бол. Неголток;»;(лв);317;32;;18;36;;;
3243;Мал. Неголток;»;»;300;31;;20;27;;;
3244;Пильга;Чижапка;(пр);283;23;;17;45;;;
3245;Косотуха;Пильга;»;7;16;;13;33;;;
3246;Мунгалка;Чижапка;(лв);263;15;;3;3;;;
3247;Колга ;»;»;254;40;;48;97;;;
3248;без названия;Колга;»;11;11;;4;5;;;
3249;Ачуга;Чижапка;»;235;28;;12;16;;;
3250;Екыльчак (Бол. Екыльчак) ;»;»;207;198;1200;86;217;;;
3251;Мал. Екыльчак;Екыльчак;(пр);168;24;;9;14;;;
3252;без названия;»;»;150;10;;4;12;;;
3253;без названия;»;»;130;10;;5;10;;;
3254;Квензер (Березовая);»;»;81;51;421;73;163;;;
3255;Сред. Ершага;Чижапка;(пр);204;10;;8;14;;;
3256;Ниж. Ершага;»;»;201;12;;12;31;;;
3257;Кулетка;»;(лв);184;39;;5;11;;;
3258;без названия;Кулетка ;»;15;13;;5;4;;;
3259;Лозыльга;Чижапка;(пр);170;16;;9;29;;;
3260;Юж. Лозыльга;Лозыльга;(лв);2;14;;9;22;;;
3261;Теволга;Чижапка;»;131;25;;4;12;;;
3262;без названия;Теволга ;(пр);9;14;;—;—;;;
3263;Ощал;Чижапка;»;123;14;;2;9;;;
3264;Южный Ощал;Ощал;(лв);3;11;;5;8;;;
3265;Чурулька;Чижапка;»;92;19;;4;6;;;
3266;Варм-Шепыль-Муч;»;»;84;11;;2;1;;;
3267;Салат (Селат) ;»;»;25;216;4280;105;207;;;538
3268;Мыга;Салат;(пр);180;20;;18;30;;;
3269;Бол. Карьят;»;(лв);164;16;;4;5;;;
3270;Кумыль-Сын;Бол. Карьят;(пр);4;11;;—;—;;;
3271;Погон-Еган;Салат;(лв);133;45;;75;110;;;
3272;Самлат (Боя. Самлат) ;»;(пр);131;76;510;71;129;;;
3273;Мал. Самлат;Самлат;»;31;12;;12;23;;;
3274;Чебачья;Салат;(лв);107;14;;25;37;;;
3275;без названия;»;(пр);105;12;;5;5;;;
3276;Лаврентьевская;»;»;86;12;;8;16;;;
3277;Оглат;»;»;62;126;1010;58;149;;;
3278;Мындала-Кыкке;Оглат;»;93;14;;14;36;;;
3279;Пырталат-Кыкке;»;»;87;12;;16;25;;;
3280;Яком-Сань-Кыкке;»;(лв);65;15;;13;30;;;
3281;Коль-Кыкке;»;(пр);59;10;;7;16;;;
3282;Косал ;Салат;(лв);46;12;;1;4;;;
3283;Пегелька;»;»;18;45;;18;35;;;
3284;без названия;Пегелька;(лв);14;11;;2;3;;;
3285;Пассал;Васюган;(пр);112;76;684;28;72;;;
3286;без названия;Пассал;(лв);60;12;;4;11;;;
3287;без названия;»;»;46;10;;—;—;;;
3288;без названия;»;»;20;11;;1;3;;;
3289;без названия;»;»;6;15;;—;—;;;
3290;протока Кинжар;Васюган;»;73;11;;—;—;;;
3291;Кулетка;протока Кинжар;»;11;21;;5;9;;;
3292;Мал. Кулетка;»;»;7;26;;3;3;;;
3293;Чебиткер;Васюган;»;67;15;;9;4;;;
3293;Малые притоки оз. Перель-То;;;;;;4;7;;;
3294;Сильга;Васюган;(пр);65;67;507;18;43;;;
3295;Малая Сильга;Сильга;»;39;28;;6;7;;;
3296;Наушка;Васюган;(пр);48;71;463;28;61;;;
3297;протока Пассал;»;(лв;43;22;;—;—;;;
3298;Кочебиловка ;»;(пр);43;44;;16;36;;;
3299;Лозунга;»;»;18;52;319;20;38;;;
3300;протока Киндал;Обь;(лв);2153;11;;—;—;;;
3301;Огуркина;протока Киндал;»;10;17;;8;6;;;
3302;протока Казальцевская;Обь;(пр);2134;37;;—;—;;;
3303;протока Когода;протока Казальцевская;(пр);27;55;;;;;;
3304;Чунджелька;протока Когода;;31;109;1580;9;14;;;
3305;Варго Чунджелька;Чунджелька;(лв);109;27;;1;2;;;
3306;Кыбы Чунджелька;Чунджелька;(пр);109;19;;3;7;;;
3307;Малая Речка;»;»;13;38;;1;3;;;
3308;без названия;Малая Речка;(лв);25;10;;—;—;;;
3309;Корыльга;Чунджелька;(пр);10;82;738;13;26;;;
3310;Ноухо;Корыльга;(лв);8;35;;2;9;;;
3311;Мугуда;протока Когода;(пр);19;18;;5;8;;;
3312;Шеделга;протока Казальцевская;(пр);22;93;674;9;32;;;
3313;Пученак;Шеделга;»;48;12;;1;2;;;
3314;Конельга;»;(лв);9;17;;—;—;;;
3315;без названия;»;»;9;10;;—;—;;;
3316;протока Мал. Шеделга;»;(пр);2;43;;—;—;;;
3317;без названия;протока Казальцевская;(пр);2;22;;—;—;;;
3318;протока Мал. Шеделга;Обь;»;2126;43;;—;—;;;
3319;Можа;протока Мал. Шеделга ;(пр);6;56;781;11;20;;;
3320;Сред. Можа;Можа;»;20;26;;2;3;;;
3321;Мал. Можа;»;»;14;22;;13;11;;;
3322;протока Шубурда;Обь;(лв);2109;23;;—;—;;;
3323;протока без названия;»;»;2103;45;;—;—;;;
3324;Черемшанка;протока без названия № 3323;(лв);30;13;;11;42;;;
3325;протока Тымская;Обь;(пр);2087;23;;—;—;;;
3326;Тымская;протока Тымская ;»;8;21;;6;15;;;
3327;Тым;Обь ;»;2077;950;32 300;182;546;4700;421;539—541
3328;Хушму;Тым;(лв);897;46;;15;52;;;
3329;без названия;»;»;877;12;;1;2;;;
3330;Шоны;»;»;866;34;;6;21;;;
3331;Мал. Шоны;Шоны;(пр);27;16;;3;8;;;
3332;Лосевая;»;»;19;13;;1;2;;;
3333;Чембоврен;Тым;(лв);849;26;;6;14;;;
3334;Джягдаг;»;(пр);834;12;;6;15;;;
3335;Болотная;»;(пр);822;13;;—;—;;;
3336;Джегде;»;»;809;50;434;8;27;;;
3337;Долина;Джегде;»;24;22;;6;20;;;
3338;Верх. Тонмогык;Тым;(пр);800;15;;—;—;;;
3339;Юркова;»;(лв);791;24;;—;—;;;
3340;Тонмогык;»;(пр);770;31;;2;15;;;
3341;Мал. Тонмогык;Тонмогык;(лв);20;15;;—;—;;;
3342;Кубдымо;Тым;(пр);761;23;;2;5;;;
3343;Мал. Кубдымо;Кубдымо;»;21;11;;1;2;;;
3344;Урикид;Тым;(лв);735;68;691;18;63;;;
3345;Лев. Урикид;Урикид;»;48;19;;7;12;;;
3346;без названия;Лев. Урикид;»;2;13;;3;6;;;
3347;Верх. Нюнельга;Тым;(пр);725;22;;1;3;;;
3348;Нюнельга;»;»;715;47;;4;20;;;
3349;Мал. Нюнельга;Нюнельга;»;24;11;;—;—;;;
3350;Когозес;Тым;(лв);712;11;968;—;—;;;
3351;Бол. Когозес;Когозес;»;11;51;531;7;18;;;
3352;Сред. Когозес;Бол. Когозес;(пр);28;16;;2;6;;;
3353;без названия;»;(лв);1;18;;—;—;;;
3354;Мал. Когозес;Когозес;»;11;51;414;9;38;;;
3355;Перляк;Тым;(пр);706;10;;3;6;;;
3356;Кожельга;»;»;674;22;;2;11;;;
3357;Прав. Кожельга;Кожельга;»;22;21;;2;9;;;
3358;Копкес;Тым;»;657;51;510;10;39;;;
3359;Россомаха;Копкес;(лв);32;22;;3;6;;;
3360;Лев. Копкес;Россомаха;(пр);3;16;;2;3;;;
3361;Кошкина;Тым;(лв);641;27;;6;17;;;
3362;без названия;Кошкина;(пр);9;10;;4;11;;;
3363;Саватеевка;Тым;»;624;25;;4;11;;;
3364;Язевая;»;(лв);610;18;;1;2;;;
3365;Нюльядровка;»;(пр);608;22;;3;7;;;
3366;Толзес;»;(лв);589;55;499;11;47;;;
3367;без названия;Толзес;(лв);47;12;;—;—;;;
3368;Беличья;»;»;43;12;;2;5;;;
3369;Мал. Толзес;»;»;8;27;;1;3;;;
3370;Ванжиль ;Тым;(пр);562;143;2180;31;125;;;
3371;Еловая;Ванжиль;(лв);124;19;;2;8;;;
3372;Тесовая;»;(пр);103;20;;2;9;;;
3373;Тимофеевка;»;(лв);83;14;;4;11;;;
3374;Писаровка;»;(пр);71;9;;1;3;;;
3375;Ажарма ;»;(лв);40;30;727;10;36;;;
3376;Лев. Ажарма;Ажарма;»;30;28;;—;—;;;
3377;Пылосовка;Лев. Ажарма;(пр);9;18;;2;14;;;
3378;Окуневая;»;»;3;11;;—;—;;;
3379;Прав. Ажарма;Ажарма;»;30;37;;4;20;;;
3380;без названия;»;»;3;16;;1;8;;;
3381;без названия;Ванжиль;(лв);24;12;;3;8;;;
3382;Тридцатая;»;(пр);15;20;;2;12;;;
3383;Пятнадцатая;Тридцатая;»;6;12;;2;6;;;
3384;Тинголка;Тым;(лв);548;67;535;11;33;;;
3385;Лосиная;Тинголка;(пр);40;19;;1;2;;;
3386;Мал. Тинголка;»;(лв);18;24;;2;9;;;
3387;Теделька;Тым;(пр);522;30;;3;12;;;
3388;без названия;»;(лв);512;14;;1;5;;;
3389;Поделга;»;»;509;167;1770;29;132;;;
3390;Сусимкина;Поделга;»;137;22;;2;8;;;
3391;Лев. Поделга;»;»;85;79;576;10;27;;;
3392;Таежная;Лев. Поделга;»;27;25;;3;3;;;
3393;Боровая;Поделга;»;22;19;;—;—;;;
3394;Корбылька;Тым;»;490;64;642;17;42;;;
3395;Мал. Корбылька;Корбылька;»;44;20;;11;11;;;
3396;Бол. Корбылька;Корбылька;(пр);39;31;;20;45;;;
3397;Среди. Корбылька;Бол. Корбылька;(лв);10;20;;7;15;;;
3398;Созылька;Тым;»;490;37;;10;21;;;
3399;Кондес;»;(пр);488;15;;1;3;;;
3400;Чебачья;»;(лв);480;14;;4;8;;;
3401;Лымбелька;»;(пр);472;240;2150;25;114;;;
3402;Пихтовая;Лымбелька;»;223;11;;1;2;;;
3403;Комаровка;»;»;215;25;;6;24;;;
3404;Болотная;»;»;210;11;;2;9;;;
3405;Тайлашка;»;(лв);208;21;;2;6;;;
3406;Лосевая;»;(пр);191;13;;3;6;;;
3407;Варюшкина;»;»;181;13;;4;12;;;
3408;Березовая;»;»;135;11;;1;2;;;
3409;Баробасная;»;»;121;10;;3;10;;;
3410;Горелая;»;»;51;16;;4;10;;;
3411;Черная;Тым;(лв);444;23;;16;36;;;
3412;Мал. Компас;»;»;436;20;;6;16;;;
3413;Компас;»;»;415;19;;10;27;;;
3414;Кананак;»;»;391;27;;27;62;;;
3415;Мал. Кананак;Кананак;(пр);5;23;;25;66;;;
3416;без названия;Тым;»;387;22;;—;—;;;
3417;Заячья;»;(лв);366;16;;8;15;;;
3418;Соболиная;Заячья;(пр);3;16;;11;20;;;
3419;Ый;Тым;»;354;19;;4;8;;;
3420;Домашняя;»;(лв);346;10;;—;—;;;
3421;без названия;»;»;334;14;;15;36;;;
3422;Болотная;»;(пр);322;52;131;—;—;;;
3423;Косец;»;»;319;249;3610;20;90;;;
3424;Тюкын-Лек-Еган;Косец;(лв);228;12;;1;2;;;
3425;Мохтик-Игол;Косец;(лв);214;15;;3;12;;;
3426;Вилюйка;»;»;206;10;;3;4;;;
3427;Извилистая;»;(пр);195;17;;1;8;;;
3428;без названия;»;»;178;13;;—;—;;;
3429;Громовская;»;(лв);173;24;;6;15;;;
3430;Кедровая ;»;»;156;22;;10;21;;;
3431;Пятая;»;(пр);151;26;;1;2;;;
3432;Прямая;Пятая;(пр);4;14;;5;8;;;
3433;Средняя;Косец;»;143;17;;—;—;;;
3434;Четвертая;»;»;128;28;;8;16;;;
3435;Викторовка;»;(лв);121;25;;4;15;;;
3436;Вторая;»;(пр);110;16;;—;—;;;
3437;Базовская;»;(лв);82;17;;2;9;;;
3438;Мал. Косец;»;(пр);68;72;675;16;45;;;
3439;Киликейкина;Мал. Косец;»;19;29;;3;10;;;
3440;Мал. Глубокая;Косец;»;37;32;;5;12;;;
3441;Чевачья;»;»;13;12;;1;2;;;
3442;Пуджелга;»;(лв);3;76;329;4;10;;;
3443;Комдес;Тым;»;313;19;;5;9;;;
3444;Окуневка;»;(пр);303;16;;2;7;;;
3445;Бактас;»;(лв);287;45;;28;92;;;
3446;Беловодная;Бактас;»;22;14;;4;14;;;
3447;Чебачья;Тым;(пр);280;18;;1;3;;;
3448;Польта;»;(лв);278;61;1930;10;5;;;
3449;Медвежка;оз. Поль-То 3-е;—;—;16;;1;1;;;
3450;Рыбная;Польта;(пр);46;47;;5;9;;;
3451;Мал. Рыбная;Рыбная;»;15;19;;11;28;;;
3452;Чамжелька;Польта;»;27;80;820;24;93;;;
3453;Бобровка;Чамжелька;»;47;18;;7;12;;;
3454;Медведка;Чамжелька;(лв);38;14;;2;2;;;
3455;Минолга;Тым;(пр);256;54;558;—;—;;;
3456;Оленья;Минолга;(лв);32;16;;2;3;;;
3457;Нобик;»;(пр);9;13;;1;8;;;
3458;Усец;»;(лв);7;34;;1;2;;;
3459;Ельцовка;»;(пр);239;33;;2;6;;;
3460;Налимовка;»;»;206;28;;4;21;;;
3461;Черная;Тым;(лв);194;20;;—;—;;;
3462;без названия;»;(пр);186;15;;5;12;;;
3463;Ершовка;»;»;177;20;;3;10;;;
3464;Могильная;»;»;143;14;;1;2;;;
3465;Пикуляк;»;»;135;14;;1;1;;;
3466;Машеста;»;(лв);120;36;;11;28;;;
3467;Кандрашкина;»;(пр);94;15;;1;2;;;
3468;Сангилька;»;»;85;335;4490;39;170;;;
3469;Чимуляк;Сангилька;(лв);306;20;;5;12;;;
3470;без названия;»;(пр);300;14;;2;3;;;
3471;Колонковая;»;(лв);288;16;;5;16;;;
3472;без названия;»;(пр);287;10;;—;—;;;
3473;Медвежья;»;(лв);269;12;;1;1;;;
3474;Березовая;»;(пр);240;12;;1;6;;;
3475;Тайлашка;»;(лв);238;11;;2;3;;;
3476;Кисец;»;»;223;44;;20;51;;;
3477;Щучья;»;(пр);197;18;;1;2;;;
3478;Ямал;»;(лв);178;18;;2;9;;;
3479;Пульсец;»;»;169;116;1020;30;106;;;
3480;Беличья;Пульсец;»;70;16;;4;9;;;
3481;Ельцовка;Сангилька;»;110;30;;1;2;;;
3482;Лаги;Ельцовка;(пр);6;11;;1;2;;;
3483;Мал. Ельцовка;Сангилька;(пр);57;18;;2;10;;;
3484;Ельцовка;Тым;»;70;29;;1;3;;;
