id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
156;Барсучиха;»;»;86;21;;1;7;;;
157;Торбачиха ;»;(пр);83;26;;7;16;;;
158;Дальняя;»;»;72;18;;—;—;;;
159;Боровлянка (Бол. Боровлянка);»;(лв);68;32;230;5;11;;;
160;Плещиха;»;(пр);67;12;;—;—;;;
161;Поперечиха;»;»;60;14;;3;2;;;
162;Рогозиха;»;(лв);50;20;;1;8;;;
163;Сухая;»;(пр);47;19;;3;2;;;
164;Фунтовка ;»;»;32;22;;8;25;;;
165;Чернопятовка (лог 1-й);»;»;11;24;161;2;10;;;
;Реки в бассейне р. Касмала, теряющиеся на водосборе;;;;;;6;19;;;
166;Харчиха ;теряется ;—;—;11;;—;—;;;
167;Чумыш;Обь;(пр);3333;644;23 900;640;966;1324;54,9;148—156
168;Кара-Чумыш;Чумыш;(лв);644;173;970;105;290;;;159—163
169;Анчереп (Бол. Анчереп);Кара-Чумыш;(пр);60;26;;53;56;;;
170;без названия;»;»;58;10;;39;36;;;
171;Егос;»;(лв);36;17;;16;17;;;
172;Томь-Чумыш;Чумыш;(пр);644;110;526;308;347;;;164
173;Большая;Томь-Чумыш;»;90;15;;40;29;;;
174;Кармак ;»;(лв);65;10;;39;37;;;
175;Алап;»;»;47;18;;55;53;;;
176;Косая;»;»;46;10;;27;26;;;
177;Дорофеевка;»;»;35;11;;27;28;;;
178;Таловая;Чумыш;»;627;34;;80;98;;;
179;Березовая;»;»;619;12;;8;12;;;
180;Кандалеп;»;»;610;17;;11;17;;;
181;Кушкель;»;(пр);598;10;;7;8;;;
182;Айлап;Чумыш;(пр);592;10;;3;4;;;
183;Мал. Мостовая;»;»;582;13;;16;23;;;
184;Ачигус ;»;(лв);579;13;;15;25;;;
185;Сары-Чумыш ;»;»;540;98;1360;142;221;;;
186;Лыс;Сары-Чумыш;(пр);84;12;;20;28;;;
187;Бол. Сулага ;»;»;70;14;;21;30;;;
188;Бол. Шурчак;»;»;69;11;;14;18;;;
189;Туяс;»;(лв);58;17;;49;59;;;
190;без названия;»;»;49;10;;21;31;;;
191;Белкарь ;»;»;43;12;;20;29;;;
192;Анаман;»;(пр);41;15;;17;18;;;
193;Салма;»;(лв);32;31;;55;85;;;
194;Урлеп;»;»;10;17;;23;32;;;
195;Кабалда;Урлеп;»;4;11;;15;15;;;
196;Бахта (Бол. Бахта);Сары-Чумыш;»;9;25;;56;54;;;
197;Мал. Бахта;Бахта;»;12;11;;51;43;;;
Ш8;Мунай;Сары-Чумыш;(пр);7;26;;85;138;;;
199;Бенжереп;»;»;2;66;335;64;115;;;
200;Учап;Бенжереп;(лв);38;10;;7;11;;;
201;Меллеп (Мерлеп);»;(пр);35;12;;6;10;;;
202;Телис;»;»;24;12;;20;27;;;
203;Урнас;»;(лв);2;10;;10;13;;;
204;Мостовая (Бол. Мостовая);Чумыш;(пр);538;37;;77;115;;;
205;Мал. Мостовая;Мостовая;»;12;19;;27;35;;;
206;Каинча ;Чумыш;»;522;10;;38;30;;;
207;Калтык;»;(лв);517;30;;45;50;;;
208;Ельцовка;»;(пр);484;14;;19;28;;;
209;Аныштаиха;»;(лв);459;15;;11;28;;;
210;Ангуреп ;»;»;446;48;;38;91;;;
211;Дресвянка;Ангуреп;(лв);37;12;;2;3;;;
212;Камышенка;»;(пр);30;15;;20;36;;;
213;Гришиха;»;(лв);27;14;;2;2;;;
214;Бугриха;»;»;24;11;;3;6;;;
215;Васиха;Ангуреп;(лв);20;10;;6;7;;;
216;Кандалеп;»;(пр);14;15;;26;54;;;
217;Анамас;»;»;11;20;;31;44;;;
218;Чесноковка (Пуртиха);Чумыш;(лв);434;11;;10;19;;;
219;Бражиха;»;(пр);408;11;;2;2;;;
220;Шалап;»;(лв);399;48;284;18;37;;;
221;Яма;»;»;398;67;694;16;27;;;165
222;Таловка;Яма;»;44;16;80;7;15;;;
223;Чистюнька;»;»;44;12;35.5;1;6;;;
224;Ближняя Еланда;»;»;39;14;;5;11;;;
225;Камышенка ;»;»;12;15;107;2;10;;;
226;Солоновка;Чумыш;»;388;14;;4;8;;;
227;Уксунай;Чумыш;(пр);370;165;2600;340;390;;;166
227 а;Сред. Уксунай;Уксунай;»;134;30;;32;60;;;
228;Мал. Уксунай;»;(лв);134;22;90.9;54;42;;;
229;Вознесенка;Мал. Уксунай;»;16;15;;38;33;;;
230;Бол. Речка;Уксунай;»;120;10;61.8;22;35;;;
231;Крутая;»;(пр);107;12;51.5;64;56;;;
232;Каменка;»;(лв);95;19;227;75;105;;;
233;Бедреп;Каменка;(пр);9;10;;10;42;;;
234;Осиновка;»;(лв);2;10;;37;47;;;
235;Теплая Речка;Уксунай;(пр);82;14;47;48;49;;;
236;Иониха (Бол. Иониха);»;»;55;11;50;34;36;;;
237;Каменка ;»;(лв);35;14;41.3;16;24;;;
238;Каменушка (Татарка. Мал. Татарка);»;»;18;43;318;27;46;;;
239;Коптушка;Каменушка;(пр);21;18;;22;47;;;
240;Коптелка;Коптушка;»;7;24;;35;39;;;
241;Тогул;Уксунай;»;17;110;1200;284;383;;;167
242;Кривая;Тогул;(лв);89;17;;70;50;;;
243;Северный Тогул ;»;(пр);85;20;;146;130;;•;
244;Тогуленок (Степной Тогуленок);»;»;57;13;;55;54;;;
245;Уда (Зауда);»;(лв);52;55;325;200;212;;;
246;Бауда (Бауденок);Уда;»;23;17;;125;117;;;
247;Поперечная;»;(пр);14;11;;54;42;;;
248;Бол. Речка;Тогул;(лв);42;15;;43;48;;;
249;Большая;Бол. Речка;(пр);5;18;;69;69;;;
250;Мочище;Тогул;»;41;10;;22;28;;;
