id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;10km_trib_amount;10km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id;;;;;
Бассейн р. Бия;;;;;;;;;;;
130;Талица;»;»;68;28;;8;18;;;
131;Тайлап;Талица;(пр);13;11;;3;6;;;
132;Бехтемир (Лев. Бехтемир);Бия;»;64;117;665;28;66;4;0.11;
133;Прав. Бехтемир;Бехтемир;»;66;20;88,0;9;14;;;
134;Илюшиха;»;»;48;13;40,0;1;1;;;
135;Шубинка;»;(лв);41;13;;6;7;;;
136;Козлачиха;»;»;18;14;;1;7;;;
137;Ойер;оз. Телецкое;;—;14;;33;42;;;
138;Камга;оз. Телецкое (зал. Камга);;—;23;;56;118;;;
139;Киште;оз. Телецкое;;—;11;;6;11;;;
140;Кокши;»;;;37;;33;100;;;
141;Дырях;Кокши;(лв);24;14;;7;15;;;
142;Кот-Агач;»;(пр);22;13;;17;30;;;
143;Тузак-Ту;»;(лв);10;14;;8;20;;;
144;без названия ;»;»;4;11;;5;6;;;
145;Челюш;оз. Телецкое;;—;13;;10;21;;;
146;Баскон;»;;—;13;;13;30;;;
147;Чири;оз. Телецкое (Кыгинский залив);;—;11;;9;16;;;
148;Кыга;»;;—;43;;61;130;;;
149;Туш-кем;Кыга;(пр);11;14;;12;29;;;
150;Кандаш;Туш-кем;(лв);5;13;;34;56;;;
151;Баяс;Кыга;»;3;11;;6;15;;;
152;Чулышман;оз. Телецкое;;—;241;16800;126;381;2361;160.8;30.31
;Малые притоки;оз. Джулу-Куль;;;;;30;65;;;
153;Макату;Чулышман;(лв);205;10;;12;7;;;
154;без названия;»;(пр);204;10;;—;—;;;
155;Туту-Оюк;»;»;201;19;;19;36;;;
156;Богояш;»;(лв);198;44;;57;102;;;
157;без названия;Богояш;(пр);40;13;;7;18;;;
;Малые притоки;оз. без названия №16 в бассейне р. Богояш;;;;;10;29;;;
158;без названия;Чулышман;(лв);197;13;;9;15;;;
159;без названия;»;»;195;12;;7;10;;;
160;Тепши-Оюк;»;(пр);188;14;;2;1;;;
;Малые притоки;оз.Яан-Куль;;;;;7;13;;;
161;Узун-Оюк;Чулышман;(пр);182;32;;27;50;;;
162;Хура;Узун-Оюк;(лв);15;13;;5;6;;;
163;Топчиха;»;(пр);8;14;;9;12;;;
164;Артыш;»;»;7;17;;5;4;;;
165;ручей Веселый;Артыш;»;8;10;;7;16;;;
166;Оин-Ору (Оикору);Узун-Оюк;(лв);3;26;;18;45;;;
167;без названия;Чулышман;(пр);172;10;;3;7;;;
168;Уанду;»;(лв);166;21;;6;19;;;
169;Салуру;Уанду;»;18;15;;6;12;;;
170;Ябалу;Чулышман;»;164;15;;—;—;;;
171;Муштуайры;Чулышман;(пр);161;11;;6;10;;;
172;Куганду (Кугандух);»;(лв);159;12;;3;7;;;
173;Садеуртем;»;(пр);153;19;;10;22;;;
174;Маярык (Манрык);»;(лв);152;15;;4;6;;;
175;Кара-Кем;»;»;145;30;;20;56;;;
176;Арой;Кара-Кем;»;12;13;;6;13;;;
177;Верх. Кулаш;Чулышман;(пр);143;22;;9;27;;;
178;Мал. Кара-Кем;;(лв);139;11;;—;_;;;
179;Верх. Тар-Тагай;»;»;135;20;;24;60;;;
180;Нижн. Тар-Тагай;»;»;133;17;;12;27;;;
181;Баыдыш;;(пр);132;15;;2;12;;;
182;Средний Кулаш;»;»;128;16;;9;26;;;
183;Еладу;»;(лв);124;15;;20;28;;;
184;Адулюгем;»;»;120;11;;12;11;;;
185;без названия;»;»;118;11;;1;2;;;
186;Нижи. Кулаш;Чулышман;(пр);116;19;;3;14;;;
187;Сукбак (Сунбик, Кара-Су);»;(лв) ;115;24;;6;13;;;
188;Шавла (Онгураш, Сай-Гоныш);»;(пр);107;67;1610;46;107;207;23,2;
189;Ташту-ойре;Сай-Гоныш;»;43;20;;22;44;;;
190;Мейду-Хем;Онгураш;(лв) ;27;26;;36;77;;;
191;Турген-су;Мейду-Хем;»;4;13;;4;6;;;
192;Кызыл-Кочко;Шавла;(пр);25;26;;26;56;;;
193;Боошкон;Кызыл-Кочко;»;9;19;;9;27;;;
194;без названия;Боошкон;(пр);3;10;;6;5;;;
;Малые притоки оз. без названия в бассейне р. Боошкон;;;;;;10;10;;;
195;Чакрым (Суу-Катар);Шавла;(пр);4;20;;14;40;;;
196;Кара-Изюк;Чакрым;(лв);11;26;;27;64;;;
197;Бол. Караколь (Бол. Каракуль);оз. Эри-коль;;—;11;;4;6;;;
198;Кюндундук-Су;оз. Эри-коль;;—;11;;3;3;;;
199;Узун-Кара-су;»;(пр);—;20;;12;25;;;
200;Айрай-су;Узун-Кара-су;»;5;10;;10;16;;;
201;Мейрык-су;;»;3;14;;8;18;;;
;Малые притоки оз. Эриколь;;;;;;3;10;;;
202;Ак-су;Чулышман;»;104;12;;4;12;;;
203;Юл;»;»;103;13;;5;7;;;
204;Тайбулку;»;(лв);83;16;;3;4;;;
205;Куркуре (Бол. Куркуре);»;(пр);78;23;;11;38;;;
206;Мал. Куркуре;Куркуре;»;6;13;;3;5;;;
;Малые притоки оз. Дери-Куль);;;;;;7;19;;;
207;без названия;Чулышман;(пр);69;10;;3;10;;;
208;Чульча;»;»;47;72;2350;46;138;330;23,5;
209;без названия;Чульча;»;70;13;;11;27;;;
210;Тайсын;»;(лв);69;16;;6;12;;;
211;Поодай;»;(пр);62;14;;6;15;;;
212;Карагем;»;(лв);60;28;;22;45;;;
213;Самыш;»;»;56;10;;—;—;;;
214;Яхан-Сору (Сорулугол);»;»;55;44;;53;109;;;
215;без названия;Яхан-Сору;(пр);25;11;;8;23;;;
216;Сайгоныш;Чульча;»;51;17;;7;18;;;
217;Анду-су;Чульча;(лв);46;13;;6;12;;;
218;Кюнтюштук-су;»;»;40;16;;3;12;;;
219;без названия;Кюнтюштук-су;»;12;11;;7;12;;;
220;без названия;»;»;4;11;;2;2;;;
221;без названия;Чульча;»;35;10;;—;—;;;
222;без названия;Чульча;(лв);35;14;;3;5;;;
223;Сургязи (Эльденгаш);»;(пр);27;25;;16;39;;;
224;без названия;»;(лв);26;12;;—;—;;;
225;без названия;»;»;22;14;;6;20;;;
226;Сундрук;»;(пр);16;10;;11;12;;;
227;без названия;»;(лв);10;14;;5;14;;;
228;Казактушкен;Чульча;(пр);4;11;;7;13;;;
229;Итыкультын-Бажи;оз. Иты-Куль;;—;24;;56;121;;;
230;Кумый;»;»;;22;;19;56;;;
;Малые притоки оз.Узун-Куль;;;;;;3;3;;;
;Малые притоки оз. Иты-Куль;;;;;;18;40;;;
231;Карасу;Чулышман;(пр);44;11;;3;6;;;
232;Коо;»;(лв);38;11;;6;12;;;
233;Башкаус;»;»;22;219;7770;92;304;405;32,1;32
234;Токпак;Башкаус;»;180;21;;2;2;;;
235;Токпак;Токпак;(пр);8;12;;5;8;;;
236;Калбакая;Башкаус;(пр);178;47;;23;52;;;
